skim_type,skim_variable,n_missing,complete_rate,numeric.mean,numeric.sd,numeric.p0,numeric.p25,numeric.p50,numeric.p75,numeric.p100,numeric.hist,finefftheta_hat,se_no_breadththeta_hat,se_with_breadththeta_hat,finsoc_no_breadththeta_hat,finsoc_with_breadththeta_hat,operating_expense_._assets,debt_to_equity_ratio,donations_assets_ratio,capital_.asset_ratio,asset_structure,kkm,education
numeric,finefftheta_hat,976,0.7959012965286492,0.4150007936117033,0.04895256861757372,0.1978655824129424,0.3920778249612161,0.407989720929543,0.42926833142454834,1.000000000000175,▁▇▁▁▁,1,-0.03550381801747429,-0.03158584054006912,-0.023489187881766082,-0.015920260372885006,-0.300405159931185,-0.012225488767887057,-0.0933844468748822,0.07870441715879684,-0.1094093607310317,0.08371370988391474,0.0274517915819257
numeric,se_no_breadththeta_hat,976,0.7959012965286492,0.9191444019565316,0.050655456419362935,0.7924812503605781,0.8822473891668433,0.9203826548879565,0.9589974871564078,1.0000000000000036,▁▅▇▇▇,-0.03550381801747429,1,0.9985398606939712,0.998921192092599,0.9967652599694743,0.3124992060200184,0.012252588271812678,0.195985875822551,0.18389990390893923,0.003518713774805929,-0.15118587616115314,0.11996893402877482
numeric,se_with_breadththeta_hat,976,0.7959012965286492,0.9193387029501477,0.05060146085627772,0.792550620564345,0.8823644977515557,0.9206498292371711,0.9590022592989373,1.0000000000000002,▁▅▇▇▇,-0.03158584054006912,0.9985398606939712,1,0.9974656920415254,0.9982362066385391,0.30937628408537377,0.012340101564795862,0.19516272979574537,0.2003217568417709,0.001520224681681269,-0.14741648334578947,0.11932055926969676
numeric,finsoc_no_breadththeta_hat,976,0.7959012965286492,0.9192375411208462,0.05061620011112769,0.7924812503605781,0.8825976243819182,0.9205236217418756,0.9590022592989373,1.0000000000000036,▁▅▇▇▇,-0.023489187881766082,0.998921192092599,0.9974656920415254,1,0.9984439675655851,0.31284149410518103,0.012077145060969003,0.19582730695519082,0.1806357488290883,0.0026736696247883188,-0.1513493455143613,0.12046209428153572
numeric,finsoc_with_breadththeta_hat,976,0.7959012965286492,0.9194653627526166,0.050550902907506745,0.7926078121529324,0.8826045705874199,0.9206772751722634,0.9591215490994613,1.000000000000002,▁▅▇▇▇,-0.015920260372885006,0.9967652599694743,0.9982362066385391,0.9984439675655851,1,0.30980491033728946,0.012118570380115209,0.19484355405542156,0.196108569372091,4.454279592891854e-4,-0.14763621082071665,0.11999401178104144
numeric,operating_expense_._assets,555,0.883939774153074,0.23303890466051574,0.1952559548110354,0,0.117,0.177,0.28654999999999997,2.5171,▇▁▁▁▁,-0.300405159931185,0.3124992060200184,0.30937628408537377,0.31284149410518103,0.30980491033728946,1,0.02514692667477706,0.3819550680654455,0.10580325140241673,0.1295999194459196,-0.09221800051650039,-0.08202067725544424
numeric,debt_to_equity_ratio,239,0.9500209117524049,3.2209140876073077,60.130287796981776,-3567.28,0.84,2.39,5.01,585.24,▁▁▁▁▇,-0.012225488767887057,0.012252588271812678,0.012340101564795862,0.012077145060969003,0.012118570380115209,0.02514692667477706,1,-0.007735865715306984,-0.04642539333927762,-0.020927067470398963,-0.03865427790773211,0.03729995279198666
numeric,donations_assets_ratio,469,0.9019238812212463,0.04799931638806297,0.15435840133799453,-0.00331114517375506,0,0.00116324729666395,0.0245083373374014,2.59807702903741,▇▁▁▁▁,-0.0933844468748822,0.195985875822551,0.19516272979574537,0.19582730695519082,0.19484355405542156,0.3819550680654455,-0.007735865715306984,1,0.17374497915875095,0.1010522904549347,-0.033404550559711844,-0.07548166437899709
numeric,capital_.asset_ratio,106,0.9778335424508574,0.32202526732249787,0.6089766623158749,-18.3526,0.15107500000000001,0.27305,0.48765,12.1495,▁▁▁▇▁,0.07870441715879684,0.18389990390893923,0.2003217568417709,0.1806357488290883,0.196108569372091,0.10580325140241673,-0.04642539333927762,0.17374497915875095,1,0.006256433769646774,0.029802366314380664,-0.06682609527868763
numeric,asset_structure,621,0.8701380175658721,0.07821541589311037,0.07404698501610076,0,0.0315862202876976,0.0596602116234588,0.100260549535025,0.859768271248912,▇▁▁▁▁,-0.1094093607310317,0.003518713774805929,0.001520224681681269,0.0026736696247883188,4.454279592891854e-4,0.1295999194459196,-0.020927067470398963,0.1010522904549347,0.006256433769646774,1,-0.08086442295781238,-0.08836550172489331
numeric,kkm,291,0.939146800501882,0.005494349108700756,2.0647316362991077,-5.23319525851152,-1.3999520071022,-0.208227080452312,1.72496147349692,7.3690088532789,▂▇▇▃▁,0.08371370988391474,-0.15118587616115314,-0.14741648334578947,-0.1513493455143613,-0.14763621082071665,-0.09221800051650039,-0.03865427790773211,-0.033404550559711844,0.029802366314380664,-0.08086442295781238,1,-0.24626126857859587
numeric,education,470,0.9017147636971978,0.38583183399180093,0.14676153760546123,0.074823428790582,0.27086093936253,0.383201293196199,0.486611428149229,1.04964862456497,▅▇▅▁▁,0.0274517915819257,0.11996893402877482,0.11932055926969676,0.12046209428153572,0.11999401178104144,-0.08202067725544424,0.03729995279198666,-0.07548166437899709,-0.06682609527868763,-0.08836550172489331,-0.24626126857859587,1
